"Dimensao","Repeticao","Configuracao","Fbest"
79,2,"Config2",4715016.13187632
79,3,"Config1",5246735.36236584
79,3,"Config2",5492984.68616707
79,4,"Config1",4435030.16704208
79,4,"Config2",4341002.26156394
79,5,"Config1",5604259.11006674
79,5,"Config2",4686784.10331613
79,6,"Config1",5305031.80903791
79,6,"Config2",4831137.87582695
79,7,"Config1",4718687.01553418
79,7,"Config2",5187067.66017852
79,8,"Config1",5225588.35835401
79,8,"Config2",4621339.10426132
79,9,"Config1",4476447.05554939
79,9,"Config2",5135631.7785918
79,10,"Config1",4151084.41165486
79,10,"Config2",5764927.99496893
84,1,"Config1",5390927.67474533
84,1,"Config2",4459238.89768475
84,2,"Config1",4422571.22576156
84,2,"Config2",5255778.81528538
84,3,"Config1",4765308.60767918
84,3,"Config2",5915136.34483993
84,4,"Config1",5492953.62985612
84,4,"Config2",6210446.27666555
84,5,"Config1",3813231.41449512
84,5,"Config2",6087008.72361116
84,6,"Config1",6420081.08139871
84,6,"Config2",4167034.45313904
84,7,"Config1",5622821.43582058
84,7,"Config2",5668412.63528355
84,8,"Config1",5727847.1918912
84,8,"Config2",5591497.66775878
84,9,"Config1",4899645.77659832
84,9,"Config2",5273856.27460237
84,10,"Config1",5633045.12965753
84,10,"Config2",5819414.28330686
90,1,"Config1",6153641.10086371
90,1,"Config2",5963548.26686955
90,2,"Config1",6108172.36730234
90,2,"Config2",6433854.15277862
90,3,"Config1",5404058.70796533
90,3,"Config2",4596874.18282467
90,4,"Config1",6095993.11769383
90,4,"Config2",5877068.95174568
90,5,"Config1",5946583.97727231
90,5,"Config2",5315677.60783326
90,6,"Config1",5450537.85956335
90,6,"Config2",6226939.98482065
90,7,"Config1",5656062.77709417
90,7,"Config2",6603934.20070695
90,8,"Config1",6132173.23205364
90,8,"Config2",6423555.69814284
90,9,"Config1",6089537.56203158
90,9,"Config2",5538702.15252998
90,10,"Config1",6952436.40833282
90,10,"Config2",6881143.71331626
95,1,"Config1",6450979.79365833
95,1,"Config2",5701542.69019367
95,2,"Config1",7449599.04461911
95,2,"Config2",7376870.28817651
95,3,"Config1",6716897.92468121
95,3,"Config2",6904027.87185523
95,4,"Config1",6287158.57201784
95,4,"Config2",6516211.15387473
95,5,"Config1",5030070.7923999
95,5,"Config2",5535858.24097128
95,6,"Config1",6707863.86188251
95,6,"Config2",7495919.03065822
95,7,"Config1",6345134.1160021
95,7,"Config2",7027744.61768786
95,8,"Config1",6473574.65815724
95,8,"Config2",6188503.95903695
95,9,"Config1",6050561.85386936
95,9,"Config2",7413547.68121961
95,10,"Config1",6855503.25535629
95,10,"Config2",6781687.46967558
101,1,"Config1",7582393.16253343
101,1,"Config2",6006225.46267522
101,2,"Config1",6526863.0531032
101,2,"Config2",6739959.1331945
101,3,"Config1",6600246.19601998
101,3,"Config2",7278296.1731467
101,4,"Config1",7278956.86812874
101,4,"Config2",6213928.45928145
101,5,"Config1",7030586.58288191
101,5,"Config2",7266877.57841592
101,6,"Config1",7475794.31862591
101,6,"Config2",5840447.96280255
101,7,"Config1",5226813.84711061
101,7,"Config2",6180569.90645255
101,8,"Config1",7680679.08464596
101,8,"Config2",7632105.50552888
101,9,"Config1",6459474.30601321
101,9,"Config2",6505036.22603412
101,10,"Config1",6661164.98330979
101,10,"Config2",6731698.7763575
106,1,"Config1",7394130.55078682
106,1,"Config2",7159061.1832091
106,2,"Config1",8439431.06059897
106,2,"Config2",7150498.1133321
106,3,"Config1",7622107.17629471
106,3,"Config2",7710835.12661832
106,4,"Config1",6979003.6438209
106,4,"Config2",7392775.29485601
106,5,"Config1",7597377.11984619
106,5,"Config2",7051640.19581393
106,6,"Config1",7474520.00795499
106,6,"Config2",8462647.73402682
106,7,"Config1",8180934.24160945
106,7,"Config2",7497102.66901306
106,8,"Config1",7014352.66839813
106,8,"Config2",7643251.2623171
106,9,"Config1",8248937.06243627
106,9,"Config2",6726617.17254193
106,10,"Config1",5824043.67018708
106,10,"Config2",7766741.88815012
112,1,"Config1",8375946.71381532
112,1,"Config2",7031101.40205924
112,2,"Config1",7468337.8848837
112,2,"Config2",7383404.62997954
112,3,"Config1",7830293.14847742
112,3,"Config2",7302553.33856502
112,4,"Config1",7842763.1073866
112,4,"Config2",5977962.0896572
112,5,"Config1",7354580.82442992
112,5,"Config2",8820951.92085257
112,6,"Config1",7680597.21141504
112,6,"Config2",6376111.97252105
112,7,"Config1",7786741.38908244
112,7,"Config2",7686222.99382911
112,8,"Config1",8123187.56432307
112,8,"Config2",6450464.79500797
112,9,"Config1",7567276.092654
112,9,"Config2",9014962.14149887
112,10,"Config1",7523731.58697424
112,10,"Config2",8897872.37441223
117,1,"Config1",7360008.054304
117,1,"Config2",8565796.28663496
117,2,"Config1",8653064.30933962
117,2,"Config2",8434808.00041666
117,3,"Config1",7663524.90580179
117,3,"Config2",8897684.95600539
117,4,"Config1",7056804.56403188
117,4,"Config2",8676023.39296953
117,5,"Config1",8194144.43798288
117,5,"Config2",7435815.20395789
117,6,"Config1",8905678.68708294
117,6,"Config2",8519981.80723014
117,7,"Config1",7620799.94043837
117,7,"Config2",8145829.63543912
117,8,"Config1",8243814.16666625
117,8,"Config2",8211634.2372641
117,9,"Config1",8292152.60957699
117,9,"Config2",8902554.73990466
117,10,"Config1",7043877.74507234
117,10,"Config2",7896845.08922983
123,1,"Config1",8591664.4021474
123,1,"Config2",8561617.75703058
123,2,"Config1",9275115.1400336
123,2,"Config2",9399897.91848967
123,3,"Config1",9015653.38781277
123,3,"Config2",8811287.43166463
123,4,"Config1",9197258.28781737
123,4,"Config2",8461281.99362897
123,5,"Config1",8822021.97569082
123,5,"Config2",9305356.45781208
123,6,"Config1",9809406.12941878
123,6,"Config2",9547626.03756365
123,7,"Config1",8345587.64922268
123,7,"Config2",7805907.6994924
123,8,"Config1",8219294.49567201
123,8,"Config2",8448961.5127093
123,9,"Config1",8837335.0193663
123,9,"Config2",9017804.75790707
123,10,"Config1",9491738.90184622
123,10,"Config2",7855695.80995015
128,1,"Config1",9126300.87779929
128,1,"Config2",8092345.47534239
128,2,"Config1",9652442.58403517
128,2,"Config2",9825725.19526013
128,3,"Config1",9861301.71718046
128,3,"Config2",9587182.69480738
128,4,"Config1",6603721.72913587
128,4,"Config2",10119642.0499013
128,5,"Config1",7321094.4868086
128,5,"Config2",8954714.7585105
128,6,"Config1",8511847.14359105
128,6,"Config2",9551620.48123134
128,7,"Config1",8760713.73872001
128,7,"Config2",9318153.64551709
128,8,"Config1",9734235.06964975
128,8,"Config2",9969786.70369022
128,9,"Config1",8308723.18259545
128,9,"Config2",9181562.51089952
128,10,"Config1",9385576.62360686
128,10,"Config2",8858545.56816367
134,1,"Config1",10712080.265399
134,1,"Config2",11020481.6426469
134,2,"Config1",9560435.30125122
134,2,"Config2",9893980.76651636
134,3,"Config1",10039099.745997
134,3,"Config2",10020639.5134891
134,4,"Config1",10764721.356019
134,4,"Config2",9844645.53408437
134,5,"Config1",9685067.38686489
134,5,"Config2",10432959.8217451
134,6,"Config1",10755076.840404
134,6,"Config2",10327388.2133277
134,7,"Config1",10380852.5324314
134,7,"Config2",8582360.98498066
134,8,"Config1",7208815.3230973
134,8,"Config2",10120178.8746185
134,9,"Config1",10123350.9011106
134,9,"Config2",10209043.4569274
134,10,"Config1",8727672.71262438
134,10,"Config2",9223631.3001453
139,1,"Config1",11006345.2993784
139,1,"Config2",10181114.7143256
139,2,"Config1",9694791.93268937
139,2,"Config2",9285048.22614241
139,3,"Config1",11385232.2518801
139,3,"Config2",10624945.7268096
139,4,"Config1",10626400.963819
139,4,"Config2",9900204.02969298
139,5,"Config1",10620154.1249733
139,5,"Config2",9744668.23175652
139,6,"Config1",10466371.0062035
139,6,"Config2",11224543.3368599
139,7,"Config1",9475774.23327298
139,7,"Config2",9493593.08770049
139,8,"Config1",9841439.094757
139,8,"Config2",9702110.45407437
139,9,"Config1",9387664.56488196
139,9,"Config2",11510916.9986483
139,10,"Config1",10997218.1320681
139,10,"Config2",9984354.37244337
145,1,"Config1",11698178.1203504
145,1,"Config2",11845203.1925628
145,2,"Config1",12063664.1481775
145,2,"Config2",11311690.000182
145,3,"Config1",9789840.83443424
145,3,"Config2",10071739.5259842
145,4,"Config1",11714995.8401682
145,4,"Config2",11561151.2552816
145,5,"Config1",12391375.4703495
145,5,"Config2",11523172.6163564
145,6,"Config1",11596276.5239198
145,6,"Config2",11169386.3727818
145,7,"Config1",11628725.921401
145,7,"Config2",11890903.2898895
145,8,"Config1",9886829.5269898
145,8,"Config2",11033791.83242
145,9,"Config1",11562645.8449648
145,9,"Config2",11481623.2456571
145,10,"Config1",11127942.9529701
145,10,"Config2",10739587.7445136
150,1,"Config1",11097979.7869675
150,1,"Config2",11201302.7836444
150,2,"Config1",9639490.9028609
150,2,"Config2",11811582.035661
150,3,"Config1",11728857.291076
150,3,"Config2",12766995.7414642
150,4,"Config1",11931781.554856
150,4,"Config2",12164294.3278844
150,5,"Config1",10989955.5368119
150,5,"Config2",12873906.2160747
150,6,"Config1",10587225.8026777
150,6,"Config2",12043075.7487603
150,7,"Config1",11605765.8927935
150,7,"Config2",11528335.2646669
150,8,"Config1",11251500.6265553
150,8,"Config2",11899897.8535271
150,9,"Config1",12139365.1777287
150,9,"Config2",11950050.2647948
150,10,"Config1",11864385.2386079
150,10,"Config2",9984764.16285874
